date_time,song_name,artists,duration,user_name
2023-02-11 10:01:18,"Kanave Nee Naan - Kannum Kannum Kollaiyadithaal | Dulquer S, Ritu V & Rakshan | Masala Coffee",Zee Music South,02:11,Vignaraj#6477
2023-02-11 10:01:21,Marappadhilai Nenje (Additional Song),Leon James - Topic,03:29,Vignaraj#6477
2023-02-11 10:01:23,"Madharasapattinam - Pookkal Pookkum Video | Aarya, Amy Jackson",SonyMusicSouthVEVO,06:25,Vignaraj#6477
2023-02-11 10:01:26,"Meesaya Murukku Songs | Sakkarakatti Video Song | Hiphop Tamizha, Aathmika, Vivek",Think Music India,03:08,Vignaraj#6477
2023-02-11 10:01:28,"Thooriga | HDR | Guitar Kambi Mele Nindru | Suriya, Prayaga Martin |Gautham Menon |Karthik |Navarasa",Think Music India,04:50,Vignaraj#6477
2023-02-11 10:01:31,Vaisagh - Kaaka Kadha Ft. Pawan Alex & Ann Sheetal | Pradeep Deva | Think Indie,Think Music India,06:34,Vignaraj#6477
2023-02-11 10:01:34,"Vaamanan - Oru Devathai Video | Jai, Priya Anand | Yuvan",SonyMusicSouthVEVO,05:45,Vignaraj#6477
2023-02-11 10:01:36,"Vishal Chandrasekhar, Sai Vignesh - Kurumugil (lyrics) Sita Ramam (Tamil)",seventyskye,04:37,Vignaraj#6477
2023-02-11 10:01:39,"Paiya - En Kadhal Solla Video | Karthi, Tamannah | Yuvan Shankar Raja",SonyMusicSouthVEVO,05:46,Vignaraj#6477
2023-02-11 10:02:15,VIKRAM Title Track Lyric | Kamal Haasan | Vijay Sethupathi | Lokesh Kanagaraj | Anirudh,Sony Music South,04:37,Vignaraj#6477
2023-02-11 10:07:54,Bodhai Kaname Video Song | Oh Manapenne | Anirudh | Shashaa | Harish Kalyan | Priya Bhavanishankar,Think Music India,04:21,Vignaraj#6477
2023-02-11 10:08:02,Megham Karukatha - Official Video Song | Thiruchitrambalam | Dhanush | Anirudh | Sun Pictures,Sun TV,05:42,Vignaraj#6477
2023-02-11 10:08:05,"Kaadhal En Kaviye - Lyrical | Salmon 3D | Sid Sriram | Vijay Yesudas, Jonita Doda | Sreejith Edavana",Lahari Music | T-Series,05:12,Vignaraj#6477
2023-02-11 10:08:07,Adiye Video Song | Bachelor | G.V. Prakash Kumar | Dhibu Ninan Thomas | Sathish | G Dilli Babu,Think Music India,05:37,Vignaraj#6477
2023-02-11 10:08:10,"Don - Bae Music Video | Sivakarthikeyan, Priyanka Mohan | Anirudh Ravichander | Cibi Chakaravarthi",Sony Music South,04:02,Vignaraj#6477
2023-02-11 10:08:13,Mudhal Nee Mudivum Nee - Title Track Video | Darbuka Siva | Sid Sriram | Thamarai,SonyMusicSouthVEVO,06:35,Vignaraj#6477
2023-02-11 10:08:16,Kaalathukkum Nee Venum Video Song | VTK | HDR| Silambarasan TR |Gautham Vasudev Menon|@ARRahman,Think Music India,06:15,Vignaraj#6477
2023-02-11 10:08:18,"Viruman - Kanja Poovu Kannala Video | Karthi, Aditi Shankar | Yuvan Shankar Raja | Muthaiya",Sony Music South,04:01,Vignaraj#6477
2023-02-11 10:08:21,"Oh My Kadavule - Kadhaippoma Lyric | Ashok Selvan, Ritika Singh | Leon James | Sid Sriram",Sony Music South,05:47,Vignaraj#6477
